Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
112,Terence Davis\daviste02,SG,22,TOR,15,214,16.6,.644,.554,.169,2.6,16.5,10.0,19.5,1.5,1.6,11.4,15.7,,0.6,0.4,0.9,.205,,2.3,1.4,3.7,0.3
113,Dewayne Dedmon\dedmode01,C,30,SAC,15,225,7.3,.465,.474,.141,11.0,20.9,15.8,4.6,1.3,3.3,23.2,20.8,,-0.4,0.2,-0.2,-0.050,,-5.2,-0.6,-5.9,-0.2
114,Matthew Dellavedova\dellama01,PG,29,CLE,14,192,4.1,.371,.578,.244,1.6,10.9,6.2,21.7,1.3,0.4,21.9,14.2,,-0.3,0.1,-0.2,-0.062,,-4.7,-1.5,-6.3,-0.2
115,DeMar DeRozan\derozde01,SF,30,SAS,17,577,20.3,.591,.015,.400,1.6,15.5,8.4,21.2,1.1,1.3,13.1,26.6,,1.2,0.2,1.4,.115,,0.8,-1.5,-0.8,0.2
116,Cheick Diallo\diallch01,C,23,PHO,11,97,22.1,.812,.000,.200,7.8,19.4,13.5,8.8,0.0,3.6,13.3,16.5,,0.3,0.1,0.4,.221,,2.0,0.3,2.3,0.1
117,Hamidou Diallo\diallha01,SF,21,OKC,12,256,13.8,.525,.141,.196,6.1,13.2,9.8,6.4,3.4,1.3,12.3,19.5,,0.0,0.4,0.4,.073,,-2.5,1.5,-1.0,0.1
118,Gorgui Dieng\dienggo01,C,30,MIN,12,145,19.4,.490,.314,.275,7.7,30.0,18.9,14.9,2.5,7.7,10.9,17.9,,0.1,0.3,0.4,.144,,-2.4,5.7,3.3,0.2
119,Spencer Dinwiddie\dinwisp01,SG,26,BRK,16,450,19.1,.565,.404,.465,0.7,8.5,4.6,29.8,1.3,1.1,12.3,29.0,,1.0,0.3,1.3,.142,,2.5,-2.9,-0.4,0.2
120,Donte DiVincenzo\divindo01,SG,23,MIL,13,250,15.0,.543,.495,.084,4.9,14.6,10.0,11.0,3.4,0.7,11.7,18.1,,0.2,0.5,0.7,.135,,0.4,1.6,2.0,0.3
121,Luka Dončić\doncilu01,PG,20,DAL,16,543,33.3,.632,.462,.437,4.5,25.9,15.5,48.9,1.9,0.5,15.9,35.7,,2.8,0.7,3.6,.317,,11.9,2.3,14.2,2.2
